aX,aY,aZ,gX,gY,gZ
0.114,0.07,0.991,1.221,-1.831,3.052
0.127,0.066,0.998,-2.686,-2.319,3.357
0.134,0.075,1.019,1.404,-2.502,2.563
0.144,0.092,1.022,3.113,-1.343,1.892
0.136,0.091,1.019,3.54,2.136,1.343
0.115,0.068,1.01,0.061,4.028,1.282
0.108,0.05,0.99,0.122,3.418,1.282
0.099,0.04,0.984,2.38,2.319,1.77
0.123,0.042,0.97,0.854,2.441,4.761
0.123,0.062,0.969,0.732,2.563,6.653
0.126,0.098,0.969,1.16,1.892,8.179
0.128,0.111,0.967,1.953,1.648,5.676
0.128,0.08,0.965,-0.122,2.808,3.296
0.13,0.079,0.967,-3.967,4.517,3.906
0.14,0.076,0.96,-3.418,5.432,3.235
0.14,0.082,0.94,0.549,6.165,1.038
0.124,0.091,0.944,3.357,2.625,-1.038
0.134,0.065,0.963,1.282,-0.488,-2.808
0.144,0.046,0.971,-0.183,-1.221,-2.258
0.139,0.058,0.986,2.258,-1.16,-1.343
0.144,0.062,1.027,3.906,-0.977,-2.075
0.136,0.067,1.009,3.662,-0.305,-2.38
0.136,0.056,1,1.831,0.366,-3.052
0.124,0.047,0.997,2.014,0.061,-2.869
0.117,0.041,0.997,3.174,-1.099,-3.235
0.135,0.037,0.991,4.456,-1.404,-2.319
0.126,0.065,1.007,6.836,-1.404,-1.587
0.135,0.058,1.024,2.441,0.427,-2.38
0.128,0.032,1.004,-2.38,2.808,-0.793
0.118,0.036,0.999,0.244,2.808,-1.099
0.123,0.043,0.996,2.991,1.953,-2.38
0.127,0.04,0.982,2.319,1.709,-1.831
0.123,0.051,0.975,1.099,1.831,-1.465
0.129,0.05,0.971,-0.366,0.732,-1.77
0.133,0.049,0.976,0.732,-0.305,-1.648
0.13,0.059,0.995,0.61,-0.305,-2.075
0.134,0.044,0.999,-0.366,-0.549,-2.502
0.132,0.042,0.992,1.831,-0.854,-2.563
0.127,0.037,0.991,3.174,-1.343,-2.991
0.09,0.035,1,2.991,-2.869,-2.686
0.155,0.037,1.011,4.028,-2.686,-2.93
0.146,0.04,1.025,3.967,-0.427,-2.075
0.127,0.024,1.013,1.831,2.502,-2.014
0.118,0.003,0.99,0.122,3.601,-1.221
0.115,0.007,0.982,0.061,2.808,-0.122
0.127,0.024,0.974,2.075,0.793,0
0.127,0.04,0.978,5.249,-0.916,-0.916
0.132,0.041,0.992,4.578,-2.319,-1.831
0.141,0.039,1.001,3.113,-1.831,-1.953
0.127,0.027,1,2.136,0,-2.197
0.121,0.018,0.997,-0.244,0.977,-1.526
0.121,0.011,0.995,-0.488,0.488,0.061
0.127,0.03,0.998,1.099,0.305,0.122
0.127,0.043,0.991,4.333,0.427,-0.793
0.117,0.036,0.969,4.761,0.488,-1.709
0.118,0.028,0.963,2.38,-0.061,-1.892
0.119,0.021,0.97,1.038,-0.305,-1.709
0.129,0.02,1.001,-1.709,-1.282,-0.488
0.137,0.027,1.031,-1.16,-0.854,0.427
0.139,0.021,1.019,1.648,1.953,0.488
0.118,0.022,0.987,4.639,2.93,0.488
0.064,0.031,0.974,5.615,2.197,0.488
0.151,0.028,0.982,4.7,2.197,0.183
0.122,0.048,0.989,1.526,0.305,1.282
0.123,0.045,0.982,0.793,0.366,-0.366
0.112,0.027,0.972,0.671,-0.305,-1.343
0.106,0.011,0.977,0.427,-1.099,-0.793
0.114,-0.001,0.993,0,-2.869,-0.122
0.12,-0.004,1.014,2.197,-3.113,0.916
0.125,0.002,1.025,4.883,-1.953,1.892
0.128,0.026,1.026,6.531,0.183,2.075
0.135,0.053,1,2.991,4.15,2.563
0.119,0.05,0.961,-0.61,4.639,1.953
0.123,0.033,0.961,0.549,0.244,-0.183
0.12,0.027,0.973,2.869,-2.38,-0.732
0.133,0.03,0.992,3.479,-2.747,-0.549
0.121,0.03,0.999,3.357,-1.221,-0.427
2.422,-0.643,-0.072,-13.367,-66.956,-56.091
2.968,-0.881,-0.12,-42.786,-52.673,-56.946
3.135,-0.799,-0.11,-97.229,-13.245,-12.939
3.069,-0.342,-0.043,-129.211,-13.428,11.719
2.647,0.057,0.129,-110.229,-35.522,-11.353
2.266,0.237,0.242,-103.149,-42.908,-51.025
1.25,0.564,0.392,-113.708,-36.804,-65.674
-0.113,0.756,0.363,-161.743,-25.085,-85.876
-1.09,0.762,0.308,-207.275,-54.016,-96.436
-2.047,0.564,0.674,-194.824,-121.216,-97.961
-2.445,0.407,1.296,-129.272,-159.546,-83.679
-2.399,0.525,1.81,-80.811,-131.409,-52.124
-2.379,0.453,2.181,-90.698,-87.463,-5.31
-1.557,0.064,2.167,-112.305,-55.542,-0.244
-0.759,-0.479,1.632,-71.716,-49.622,-23.804
-0.438,-0.685,1.011,26.489,-17.09,-43.152
-0.302,-0.242,0.646,68.359,6.409,-20.935
-0.215,0.266,0.759,27.832,7.629,25.635
0.008,0.427,0.907,-28.625,4.272,30.579
0.04,0.328,0.999,-46.204,5.249,12.085
0.077,0.253,1.016,-42.175,5.249,2.014
-0.001,0.147,0.991,-13.123,3.967,-11.169
-0.057,0.018,0.94,23.315,-2.502,-22.4
-0.075,-0.078,0.895,41.26,-9.46,-25.085
-0.062,-0.09,0.934,36.865,-13.245,-17.517
-0.041,-0.051,1.004,21.973,-14.832,-6.958
-0.024,-0.056,1.061,11.414,-11.23,-3.479
0.004,-0.054,1.061,9.583,-6.409,-1.526
0.034,-0.017,1.042,19.043,-2.747,-1.16
0.066,0.06,1.034,20.752,0.183,-0.122
0.065,0.083,1.031,15.686,1.343,0.61
0.053,0.081,1.026,1.038,2.075,-0.122
0.078,0.03,1.039,-7.935,-0.488,-3.662
0.076,0.007,1.055,-4.7,-2.808,-6.409
0.041,-0.046,1.051,-0.671,-3.845,-9.399
0.006,-0.105,1.071,0.732,-4.333,-9.033
0.011,-0.143,1.055,-1.648,-1.16,-5.981
-0.002,-0.132,1.018,-1.831,1.831,-0.854
0.007,-0.079,1.013,-3.845,2.686,3.479
0.018,-0.057,1.001,-3.845,1.648,5.554
0.033,-0.008,1.002,-3.113,0.793,3.845
0.048,-0.001,1.016,-4.456,-0.061,2.441
0.08,0,1.034,-4.822,-1.526,1.526
